"","Species","GS","lat","long"
"209","Chymomyza_amoena",395.2,33.392497,-86.773159
"210","Chymomyza_amoena",395.2,39.180236,-75.577755
"211","Chymomyza_amoena",395.2,39.788483,-75.01959
"212","Chymomyza_amoena",395.2,41.347095,-72.902486
"213","Chymomyza_amoena",395.2,40.129215,-88.213758
"214","Chymomyza_amoena",395.2,39.809086,-75.579053
"215","Chymomyza_amoena",395.2,40.674937,-95.690924
"216","Chymomyza_amoena",395.2,43.882918,-78.885453
"217","Chymomyza_amoena",395.2,42.019067,-91.642687
"218","Chymomyza_amoena",395.2,43.073098,-87.874768
"219","Chymomyza_amoena",395.2,41.701949,-83.485299
"220","Chymomyza_amoena",395.2,52.424354,13.262218
"221","Chymomyza_amoena",395.2,42.247624,-84.742993
"222","Chymomyza_amoena",395.2,33.035321,-96.728032
"223","Chymomyza_amoena",395.2,46.860011,-96.748455
"224","Chymomyza_amoena",395.2,42.382733,-76.568867
"225","Chymomyza_amoena",395.2,36.286616,-95.32225
"226","Chymomyza_amoena",395.2,43.659371,-79.478704
"227","Chymomyza_amoena",395.2,33.035321,-96.728032
"228","Chymomyza_amoena",395.2,42.988508,-78.967012
"229","Chymomyza_amoena",395.2,52.35,5.75
"230","Chymomyza_amoena",395.2,51.95,5.2
"231","Chymomyza_amoena",395.2,51.42947,7.030824
"232","Chymomyza_amoena",395.2,46.785965,-71.239904
"233","Chymomyza_amoena",395.2,56.760041,36.783746
"234","Chymomyza_amoena",395.2,45.344692,-75.824233
"235","Chymomyza_amoena",395.2,56.308547,43.980426
"236","Chymomyza_amoena",395.2,45.443495,-73.598094
"237","Chymomyza_amoena",395.2,46.604205,-71.283632
"238","Chymomyza_amoena",395.2,39.431747,-76.784225
"239","Chymomyza_amoena",395.2,39.007561,-77.059953
"240","Chymomyza_amoena",395.2,39.773445,-74.194394
"241","Chymomyza_amoena",395.2,50.433265,4.867058
"242","Chymomyza_amoena",395.2,44.409445,-68.269782
"243","Chymomyza_amoena",395.2,46.230978,-89.530185
"244","Chymomyza_amoena",395.2,40.276726,-75.949827
"245","Chymomyza_amoena",395.2,39.326965,-94.935758
"246","Chymomyza_amoena",395.2,51.7,5.85
"247","Chymomyza_amoena",395.2,52.35,4.6
"248","Chymomyza_amoena",395.2,52.293331,7.421625
"249","Chymomyza_amoena",395.2,52.401989,9.811272
"250","Chymomyza_amoena",395.2,55.65284,13.07996
"251","Chymomyza_amoena",395.2,55.831829,37.289856
"252","Chymomyza_amoena",395.2,49.295808,10.44099
"253","Chymomyza_amoena",395.2,56.7602,36.78364
"254","Chymomyza_amoena",395.2,46.23131,-89.518268
"255","Chymomyza_amoena",395.2,43.781198,-79.281598
"256","Chymomyza_amoena",395.2,43.781198,-79.281598
"257","Chymomyza_amoena",395.2,42.247624,-84.742993
"258","Chymomyza_amoena",395.2,42.567883,-72.21817
"259","Chymomyza_amoena",395.2,42.6042,-71.61682
"260","Chymomyza_amoena",395.2,45.979724,-89.781206
"261","Chymomyza_amoena",395.2,41.547206,-76.015782
"262","Chymomyza_amoena",395.2,37.224721,-80.404239
"263","Chymomyza_amoena",395.2,45.341415,-75.871153
"264","Chymomyza_amoena",395.2,44.252051,-68.366822
"265","Chymomyza_amoena",395.2,43.359159,-80.976952
"266","Chymomyza_amoena",395.2,55.831875,37.289871
"267","Chymomyza_amoena",395.2,55.831875,37.289863
"268","Chymomyza_amoena",395.2,45.344692,-75.824233
"269","Chymomyza_amoena",395.2,42.247624,-84.742993
"270","Chymomyza_amoena",395.2,41.078615,-74.228646
"271","Chymomyza_amoena",395.2,49.150305,16.877798
"272","Chymomyza_amoena",395.2,55.93898,37.311727
"273","Chymomyza_amoena",395.2,55.831888,37.289869
"274","Chymomyza_amoena",395.2,42.570897,-72.406145
"275","Chymomyza_amoena",395.2,41.663452,-70.361619
"276","Chymomyza_amoena",395.2,51.35,5.45
"277","Chymomyza_amoena",395.2,51.35,5.45
"278","Chymomyza_amoena",395.2,51.35,5.45
"279","Chymomyza_amoena",395.2,41.497763,-73.96218
"280","Chymomyza_amoena",395.2,41.599659,-81.576189
"281","Chymomyza_amoena",395.2,50.559099,-99.82813
"282","Chymomyza_amoena",395.2,43.43925,-80.468011
"283","Chymomyza_amoena",395.2,41.70201,-83.485266
"284","Chymomyza_amoena",395.2,55.335764,38.624183
"285","Chymomyza_amoena",395.2,41.430655,-72.890953
"286","Chymomyza_amoena",395.2,39.215075,-75.988528
"287","Chymomyza_amoena",395.2,43.73166,-79.48137
"288","Chymomyza_amoena",395.2,34.625174,-85.55082
"289","Chymomyza_amoena",395.2,40.858487,-73.524487
"290","Chymomyza_amoena",395.2,43.48673,-80.56386
"291","Chymomyza_amoena",395.2,42.38654,-71.108418
"292","Chymomyza_amoena",395.2,50.9,5.9
"293","Chymomyza_amoena",395.2,52.2,6.25
"294","Chymomyza_amoena",395.2,62.601365,29.731228
"295","Chymomyza_amoena",395.2,56.116931,47.485999
"296","Chymomyza_amoena",395.2,39.311927,-76.776436
"297","Chymomyza_amoena",395.2,44.944191,-93.181457
"298","Chymomyza_amoena",395.2,38.299119,-76.533677
"299","Chymomyza_amoena",395.2,38.958403,-77.055092
"300","Chymomyza_amoena",395.2,51.95,5.7
"301","Chymomyza_amoena",395.2,51.75,5.55
"302","Chymomyza_amoena",395.2,32.420845,-81.77507
"303","Chymomyza_amoena",395.2,51.739233,19.610593
"304","Chymomyza_amoena",395.2,52,5.5
"305","Chymomyza_amoena",395.2,52,5.5
"306","Chymomyza_amoena",395.2,51.4,5.5
"307","Chymomyza_amoena",395.2,32.652678,-95.292671
"308","Chymomyza_amoena",395.2,30.454563,-97.798984
"309","Chymomyza_amoena",395.2,36.901654,-76.120587
"310","Chymomyza_amoena",395.2,36.901597,-76.120679
"311","Chymomyza_amoena",395.2,33.035356,-96.726333
"312","Chymomyza_amoena",395.2,30.3575,-97.7234
"313","Chymomyza_amoena",395.2,29.426684,-98.655529
"314","Chymomyza_amoena",395.2,33.035356,-96.726333
"315","Chymomyza_amoena",395.2,30.278726,-90.923338
"316","Chymomyza_amoena",395.2,35.084281,-78.875108
"317","Chymomyza_amoena",395.2,30.09346,-97.16982
"318","Chymomyza_amoena",395.2,33.800113,-84.414392
"319","Chymomyza_amoena",395.2,36.021457,-80.060273
"320","Chymomyza_amoena",395.2,35.718195,-78.753867
"321","Chymomyza_amoena",395.2,36.380954,-82.113217
"322","Chymomyza_amoena",395.2,33.035356,-96.726333
"323","Chymomyza_amoena",395.2,47.597577,18.974507
"324","Chymomyza_amoena",395.2,53.096379,8.879952
"325","Chymomyza_amoena",395.2,40.69933,-99.081678
"326","Chymomyza_amoena",395.2,52.05,4.2
