"","species","lat","long","ref","gbifID","key"
"140","Drosophila melanogaster","58.76487","17.03054",NA,"4539055625","38b4c89f-584c-41bb-bd8f-cd1def33e92f"
"141","Drosophila melanogaster","59.12867","15.1429",NA,"4597844415","38b4c89f-584c-41bb-bd8f-cd1def33e92f"
"142","Drosophila phalerata","53.436559","-2.550138",NA,"4866819243","12934e15-749a-4df4-ab89-211c10573525"
"143","Drosophila melanogaster","30.3245","-97.7438",NA,"4853309377","ba9984d8-d982-4fe6-b81c-a7585790034a"
"144","Drosophila funebris","53.932311","-0.783781",NA,"4948750352","12934e15-749a-4df4-ab89-211c10573525"
"145","Drosophila busckii","33.509587","-82.16748","https://www.inaturalist.org/observations/204914744","5007934289","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"146","Drosophila immigrans","30.446077","-90.53134","https://www.inaturalist.org/observations/204921406","4606921658","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"147","Drosophila immigrans","33.731747","-117.940803","https://www.inaturalist.org/observations/205268338","4954336755","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"148","Drosophila immigrans","51.456792","-2.553337","https://www.inaturalist.org/observations/205508044","4607474244","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"149","Drosophila immigrans","48.899627","2.228906","https://www.inaturalist.org/observations/205693336","4607457132","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"150","Drosophila immigrans","37.988818","23.663373","https://www.inaturalist.org/observations/205850805","4607458433","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"151","Drosophila immigrans","37.890568","-122.161822","https://www.inaturalist.org/observations/206296338","4606883633","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"152",NA,"47.696194","-122.049247","https://www.inaturalist.org/observations/206510924","4606992860","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"153","Drosophila hydei","44.691143","8.036582","https://www.inaturalist.org/observations/206807799","4846876487","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"154","Drosophila busckii","52.137493","-106.574043","https://www.inaturalist.org/observations/207113399","4846972684","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"155","Drosophila testacea","63.829618","23.133513","https://www.inaturalist.org/observations/207181248","4846792587","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"156","Drosophila melanogaster","-21.247042","-159.815441","https://www.inaturalist.org/observations/207688455","4945469651","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"157","Drosophila immigrans","-45.899305","170.493878","https://www.inaturalist.org/observations/207709612","4852360033","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"158",NA,"43.647165","7.153832","https://www.inaturalist.org/observations/207719628","4851788482","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"159","Drosophila busckii","40.268339","-76.145336","https://www.inaturalist.org/observations/208367576","4851864441","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"160","Drosophila immigrans","-38.176365","144.306787","https://www.inaturalist.org/observations/208419055","4851963280","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"161","Drosophila tripunctata","38.986449","-77.051577","https://www.inaturalist.org/observations/208826004","4852908858","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"162","Drosophila repleta","49.382099","-123.378557","https://www.inaturalist.org/observations/208835475","4852915800","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"163","Drosophila tripunctata","39.020575","-76.916522","https://www.inaturalist.org/observations/209011474","4852923271","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"164","Drosophila putrida","39.020448","-76.917021","https://www.inaturalist.org/observations/209014330","4852923946","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"165","Drosophila suzukii","44.566656","-123.281551","https://www.inaturalist.org/observations/209289948","4855375223","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"166",NA,"50.963067","4.216414","https://www.inaturalist.org/observations/209650360","5006842635","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"167","Drosophila suzukii","32.475335","-97.010318","https://www.inaturalist.org/observations/209971935","4937145272","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"168","Drosophila busckii","28.65611","121.42056","https://www.inaturalist.org/observations/210158255","4851938078","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"169","Drosophila falleni","38.986383","-77.051007","https://www.inaturalist.org/observations/210274411","4852015338","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"170","Drosophila falleni","38.986414","-77.051045","https://www.inaturalist.org/observations/210274435","4852225313","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"171","Drosophila falleni","38.986405","-77.051062","https://www.inaturalist.org/observations/210274481","4852084229","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"172","Drosophila falleni","38.98642","-77.051053","https://www.inaturalist.org/observations/210274502","4852090838","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"173",NA,"50.068884","18.427697","https://www.inaturalist.org/observations/210451409","4853090685","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"174","Drosophila busckii","33.729703","-118.2807","https://www.inaturalist.org/observations/210508315","4852374099","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
